都道府県,①Overture_supermarket,②浄化grocery_store,合計,センサス561+581,①のカバー率(%),①+②のカバー率(%)
三重県,276,177,453,355,77.7,127.6
京都府,399,337,736,486,82.1,151.4
佐賀県,118,96,214,184,64.1,116.3
兵庫県,749,456,1205,987,75.9,122.1
北海道,775,616,1391,1053,73.6,132.1
千葉県,905,411,1316,913,99.1,144.1
和歌山県,184,130,314,257,71.6,122.2
埼玉県,1009,453,1462,966,104.5,151.3
大分県,186,157,343,291,63.9,117.9
大阪府,1202,615,1817,1248,96.3,145.6
奈良県,186,132,318,225,82.7,141.3
宮城県,381,223,604,416,91.6,145.2
宮崎県,166,145,311,325,51.1,95.7
富山県,146,93,239,210,69.5,113.8
山口県,186,139,325,323,57.6,100.6
山形県,192,167,359,272,70.6,132.0
山梨県,128,114,242,186,68.8,130.1
岐阜県,308,182,490,421,73.2,116.4
岡山県,253,201,454,476,53.2,95.4
岩手県,191,153,344,347,55.0,99.1
島根県,117,106,223,275,42.5,81.1
広島県,380,283,663,626,60.7,105.9
徳島県,119,79,198,206,57.8,96.1
愛媛県,184,146,330,370,49.7,89.2
愛知県,893,544,1437,971,92.0,148.0
新潟県,311,263,574,516,60.3,111.2
東京都,2150,1609,3759,2179,98.7,172.5
栃木県,277,197,474,375,73.9,126.4
沖縄県,324,212,536,462,70.1,116.0
滋賀県,184,116,300,222,82.9,135.1
熊本県,229,214,443,423,54.1,104.7
石川県,161,139,300,230,70.0,130.4
神奈川県,1222,690,1912,1324,92.3,144.4
福井県,94,109,203,199,47.2,102.0
福岡県,832,457,1289,701,118.7,183.9
福島県,281,145,426,396,71.0,107.6
秋田県,156,106,262,264,59.1,99.2
群馬県,332,144,476,353,94.1,134.8
茨城県,423,239,662,535,79.1,123.7
長崎県,183,154,337,411,44.5,82.0
長野県,313,234,547,406,77.1,134.7
青森県,186,107,293,376,49.5,77.9
静岡県,633,384,1017,553,114.5,183.9
香川県,170,102,272,229,74.2,118.8
高知県,113,85,198,241,46.9,82.2
鳥取県,74,65,139,162,45.7,85.8
鹿児島県,206,225,431,455,45.3,94.7
