市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
32527,知夫村,269,269,1.0,269,269,1.0,0.6625,188.0,0.663
39364,大川村,130,130,1.0,130,130,1.0,0.4085,61.0,0.408
39427,三原村,683,671,0.9824,683,671,0.9824,0.2802,189.0,0.285
39387,仁淀川町,2633,2544,0.9662,2633,2275,0.864,0.3893,1045.0,0.403
32525,海士町,832,798,0.9591,798,798,0.9591,0.5541,501.0,0.578
32449,邑南町,4616,4359,0.9443,4403,4008,0.8683,0.3778,1731.0,0.4
32505,吉賀町,2703,2502,0.9256,2640,2089,0.7728,0.4045,1100.0,0.437
04302,七ヶ宿町,586,541,0.9232,586,541,0.9232,0.4212,246.0,0.456
32448,美郷町,2074,1883,0.9079,1883,1854,0.8939,0.3682,767.0,0.406
32386,飯南町,2116,1919,0.9069,1919,1701,0.8039,0.2904,614.0,0.32
39344,大豊町,1897,1708,0.9004,1828,1688,0.8898,0.4295,819.0,0.477
39304,安田町,1032,928,0.8992,1032,802,0.7771,0.3448,373.0,0.383
04422,大郷町,2987,2661,0.8909,2987,2441,0.8172,0.1664,502.0,0.187
04341,丸森町,5308,4699,0.8853,5071,4302,0.8105,0.2378,1259.0,0.269
04424,大衡村,1747,1538,0.8804,1747,1229,0.7035,0.1886,322.0,0.214
32343,奥出雲町,5132,4516,0.88,5046,4586,0.8936,0.3015,1547.0,0.343
39405,檮原町,1523,1333,0.8752,1366,1181,0.7754,0.3783,579.0,0.432
32526,西ノ島町,1090,951,0.8725,951,942,0.8642,0.546,704.0,0.626
39412,四万十町,6990,5913,0.8459,6445,5112,0.7313,0.2755,1923.0,0.326
32528,隠岐の島町,5282,4466,0.8455,4993,3277,0.6204,0.4601,2563.0,0.544
39306,馬路村,305,257,0.8426,257,193,0.6328,0.2598,79.0,0.308
32209,雲南市,14438,12158,0.8421,13283,10499,0.7272,0.2238,3228.0,0.266
39411,津野町,2414,2029,0.8405,2404,1813,0.751,0.2385,570.0,0.284
04301,蔵王町,4364,3664,0.8396,4044,3089,0.7078,0.2242,979.0,0.267
04606,南三陸町,4611,3843,0.8334,4430,3161,0.6855,0.2522,1187.0,0.303
39424,大月町,2080,1729,0.8313,1979,1601,0.7697,0.3136,682.0,0.377
39305,北川村,493,409,0.8296,493,379,0.7688,0.3023,153.0,0.364
39301,東洋町,980,804,0.8204,837,355,0.3622,0.4459,498.0,0.544
