都道府県,市区町村,収集経路,総施設数,ジオコーディング補完,元座標あり,座標なし
三重県,いなべ市,管轄主体,488,459,29,0
三重県,三重郡川越町,管轄主体,137,115,22,0
三重県,三重郡朝日町,管轄主体,67,53,14,0
三重県,三重郡菰野町,管轄主体,453,419,34,0
三重県,不明,不明,45,0,0,45
三重県,亀山市,管轄主体,495,450,45,0
三重県,伊勢市,管轄主体,2242,2057,185,0
三重県,伊賀市,管轄主体,1317,1206,111,0
三重県,北牟婁郡紀北町,管轄主体,334,323,11,0
三重県,南牟婁郡御浜町,管轄主体,137,132,5,0
三重県,南牟婁郡紀宝町,管轄主体,101,100,1,0
三重県,名張市,管轄主体,837,741,96,0
三重県,員弁郡東員町,管轄主体,230,194,36,0
三重県,四日市市,自身,424,1,423,0
三重県,多気郡多気町,管轄主体,280,272,8,0
三重県,多気郡大台町,管轄主体,162,152,10,0
三重県,多気郡明和町,管轄主体,246,205,41,0
三重県,尾鷲市,管轄主体,424,416,8,0
三重県,度会郡南伊勢町,管轄主体,219,210,9,0
三重県,度会郡大紀町,管轄主体,131,124,7,0
三重県,度会郡度会町,管轄主体,66,62,4,0
三重県,度会郡玉城町,管轄主体,184,164,20,0
三重県,志摩市,管轄主体,1056,1009,47,0
三重県,松阪市,管轄主体,2387,2176,211,0
三重県,桑名市,管轄主体,1708,1528,180,0
三重県,桑名郡木曽岬町,管轄主体,45,42,3,0
三重県,津市,管轄主体,3235,2943,292,0
三重県,熊野市,管轄主体,363,352,11,0
三重県,鈴鹿市,管轄主体,2109,1872,237,0
三重県,鳥羽市,管轄主体,751,728,23,0
不明,(保管場所)南さつま市,不明,1,0,0,1
不明,(保管場所：鹿児島市,不明,1,0,0,1
不明,一の宮町,不明,5,0,0,5
不明,七城町,不明,1,0,0,1
不明,不明,不明,590,0,0,590
不明,中区,不明,1253,0,0,1253
不明,久木野村,不明,1,0,0,1
不明,伊集院町,不明,1,0,0,1
不明,住用町,不明,1,0,0,1
不明,倉岳町,不明,1,0,0,1
不明,加治木町,不明,2,0,0,2
不明,南区,不明,994,0,0,994
不明,南区桃山台１丁１‐１ 堺市,不明,2,0,0,2
不明,国分市,不明,1,0,0,1
不明,堺区,不明,3182,0,0,3182
不明,堺区南瓦町３‐１ 堺市,不明,1,0,0,1
不明,堺区大浜西町２３ 堺出島漁港　とれとれ市,不明,1,0,0,1
不明,堺区大浜西町２４ 堺出島漁港とれとれ市,不明,1,0,0,1
不明,堺区大町東３丁１‐１０ 武市,不明,1,0,0,1
不明,堺区市,不明,52,0,0,52
不明,堺区栄橋町２丁４‐１ 堺魚市,不明,6,0,0,6
不明,堺区栄橋町２丁４‐２８ 堺魚市,不明,3,0,0,3
不明,堺区甲斐町東３丁１‐１３ １０５　甲斐町市,不明,1,0,0,1
不明,堺区神石市,不明,20,0,0,20
不明,堺区綾之町東１丁２‐３３ 堺都市,不明,1,0,0,1
不明,堺市,不明,894,0,0,894
不明,姶良町,不明,1,0,0,1
不明,本渡市,不明,1,0,0,1
不明,東区,不明,656,0,0,656
不明,東市来町,不明,1,0,0,1
不明,東町,不明,1,0,0,1
不明,津奈木町,不明,1,0,0,1
不明,県内一円（鹿児島市,不明,2,0,0,2
不明,美原区,不明,413,0,0,413
不明,蘇陽町,不明,1,0,0,1
不明,西区,不明,1351,0,0,1351
不明,西区津久野町１丁１‐１ ＵＲ都市,不明,1,0,0,1
不明,鏡町,不明,1,0,0,1
不明,長洲町,不明,3,0,0,3
不明,長陽町,不明,1,0,0,1
不明,（保管場所）南さつま市,不明,10,0,0,10
不明,（保管場所）南九州市,不明,28,0,0,28
不明,（保管場所）姶良市,不明,1,0,0,1
不明,（保管場所）指宿市,不明,1,0,0,1
不明,（保管場所）枕崎市,不明,3,0,0,3
不明,（保管場所）熊本県八代市,不明,1,0,0,1
不明,（保管場所）鹿児島市,不明,16,0,0,16
不明,（保管場所：南九州市,不明,2,0,0,2
不明,（保管場所：枕崎市,不明,2,0,0,2
不明,（保管場所：鹿児島市,不明,1,0,0,1
京都府,不明,不明,433,0,0,433
京都府,与謝郡与謝野町,i2fas,343,0,343,0
京都府,与謝郡伊根町,i2fas,117,0,117,0
京都府,久世郡久御山町,i2fas,438,0,438,0
京都府,乙訓郡大山崎町,i2fas,122,0,122,0
京都府,亀岡市,i2fas,1021,0,1021,0
京都府,京丹後市,i2fas,1603,2,1601,0
京都府,京田辺市,i2fas,712,0,712,0
京都府,京都市,自身,38477,34480,3447,550
京都府,八幡市,i2fas,601,2,599,0
京都府,南丹市,i2fas,1020,13,1007,0
京都府,向日市,i2fas,660,0,660,0
京都府,城陽市,i2fas,651,0,651,0
京都府,宇治市,i2fas,2426,5,2419,2
京都府,宮津市,i2fas,631,0,631,0
京都府,木津川市,i2fas,998,141,857,0
京都府,相楽郡南山城村,i2fas,100,4,96,0
京都府,相楽郡和束町,i2fas,134,0,134,0
京都府,相楽郡笠置町,i2fas,43,0,43,0
京都府,相楽郡精華町,i2fas,322,0,322,0
京都府,福知山市,i2fas,1491,0,1491,0
京都府,綴喜郡井手町,i2fas,143,0,142,1
京都府,綴喜郡宇治田原町,i2fas,188,0,188,0
京都府,綾部市,i2fas,586,0,586,0
京都府,舞鶴市,i2fas,1423,3,1420,0
京都府,船井郡京丹波町,i2fas,319,0,319,0
京都府,長岡京市,i2fas,611,0,611,0
佐賀県,三養基郡みやき町,i2fas,177,0,177,0
佐賀県,三養基郡上峰町,i2fas,75,0,75,0
佐賀県,三養基郡基山町,i2fas,123,0,123,0
佐賀県,不明,不明,140,0,0,140
佐賀県,伊万里市,i2fas,432,1,431,0
佐賀県,佐賀市,i2fas,2446,2,2444,0
佐賀県,唐津市,i2fas,594,0,594,0
佐賀県,多久市,i2fas,168,0,168,0
佐賀県,嬉野市,i2fas,56,0,56,0
佐賀県,小城市,i2fas,276,0,276,0
佐賀県,東松浦郡玄海町,i2fas,18,0,18,0
佐賀県,杵島郡大町町,不明,11,0,11,0
佐賀県,杵島郡江北町,i2fas,35,0,35,0
佐賀県,杵島郡白石町,i2fas,41,0,41,0
佐賀県,武雄市,i2fas,177,2,175,0
佐賀県,神埼市,i2fas,212,0,212,0
佐賀県,神埼郡吉野ヶ里町,i2fas,146,0,146,0
佐賀県,藤津郡太良町,i2fas,19,0,19,0
佐賀県,西松浦郡有田町,i2fas,112,0,112,0
佐賀県,鳥栖市,i2fas,915,0,915,0
佐賀県,鹿島市,i2fas,68,0,68,0
兵庫県,たつの市,管轄主体,1089,1016,73,0
兵庫県,三木市,管轄主体,1179,1101,78,0
兵庫県,三田市,管轄主体,1123,1024,99,0
兵庫県,不明,不明,5395,5145,0,250
兵庫県,丹波市,管轄主体,1027,987,40,0
兵庫県,丹波篠山市,管轄主体,1051,1019,32,0
兵庫県,伊丹市,管轄主体,1964,1734,230,0
兵庫県,佐用郡佐用町,管轄主体,282,269,13,0
兵庫県,加古川市,管轄主体,2852,2667,185,0
兵庫県,加古郡播磨町,管轄主体,323,299,24,0
兵庫県,加古郡稲美町,管轄主体,332,315,17,0
兵庫県,加東市,管轄主体,614,572,42,0
兵庫県,加西市,管轄主体,569,519,50,0
兵庫県,南あわじ市,管轄主体,950,911,39,0
兵庫県,多可郡多可町,管轄主体,297,284,13,0
兵庫県,姫路市,i2fas,872,0,872,0
兵庫県,宍粟市,管轄主体,807,777,30,0
兵庫県,宝塚市,管轄主体,1901,1740,161,0
兵庫県,小野市,管轄主体,555,527,28,0
兵庫県,尼崎市,自身,7328,6864,464,0
兵庫県,川西市,管轄主体,1244,1098,146,0
兵庫県,川辺郡猪名川町,管轄主体,269,252,17,0
兵庫県,揖保郡太子町,管轄主体,335,308,27,0
