cat,都道府県,ATP件数,実数統計,ATP率,マスター件数,マスター率
convenience,三重県,784,789,99.366,704,89.227
convenience,京都府,1052,1062,99.058,968,91.149
convenience,佐賀県,371,358,103.631,360,100.559
convenience,兵庫県,1955,1990,98.241,1798,90.352
convenience,北海道,3064,3003,102.031,3268,108.825
convenience,千葉県,2737,2634,103.91,2753,104.518
convenience,和歌山県,357,375,95.2,346,92.267
convenience,埼玉県,2970,2866,103.629,2681,93.545
convenience,大分県,519,516,100.581,507,98.256
convenience,大阪府,4017,3904,102.894,3400,87.09
convenience,奈良県,438,460,95.217,434,94.348
convenience,宮城県,1172,1165,100.601,1164,99.914
convenience,宮崎県,452,435,103.908,445,102.299
convenience,富山県,467,477,97.904,456,95.597
convenience,山口県,546,552,98.913,586,106.159
convenience,山形県,427,444,96.171,461,103.829
convenience,山梨県,450,457,98.468,456,99.781
convenience,岐阜県,819,850,96.353,838,98.588
convenience,岡山県,813,803,101.245,834,103.861
convenience,岩手県,568,543,104.604,558,102.762
convenience,島根県,272,269,101.115,308,114.498
convenience,広島県,1181,1189,99.327,1174,98.738
convenience,徳島県,310,321,96.573,322,100.312
convenience,愛媛県,565,584,96.747,585,100.171
convenience,愛知県,3575,3552,100.648,3494,98.367
convenience,新潟県,878,895,98.101,967,108.045
convenience,東京都,7108,7126,99.747,6292,88.296
convenience,栃木県,948,921,102.932,928,100.76
convenience,沖縄県,810,689,117.562,703,102.032
convenience,滋賀県,532,554,96.029,538,97.112
convenience,熊本県,797,779,102.311,725,93.068
convenience,石川県,494,498,99.197,506,101.606
convenience,神奈川県,3774,3624,104.139,3443,95.006
convenience,福井県,337,334,100.898,341,102.096
convenience,福岡県,2311,2271,101.761,2195,96.653
convenience,福島県,883,906,97.461,951,104.967
convenience,秋田県,450,458,98.253,461,100.655
convenience,群馬県,896,905,99.006,1046,115.58
convenience,茨城県,1408,1418,99.295,1456,102.68
convenience,長崎県,520,528,98.485,493,93.371
convenience,長野県,930,936,99.359,933,99.679
convenience,青森県,607,611,99.345,631,103.273
