市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
32527,知夫村,269,269,1.0,269,269,1.0,0.6625,188.0,0.663
39301,東洋町,980,980,1.0,980,963,0.9827,0.4459,498.0,0.446
39304,安田町,1032,1032,1.0,1032,1032,1.0,0.3448,373.0,0.345
39427,三原村,683,683,1.0,683,683,1.0,0.2802,189.0,0.28
39305,北川村,493,493,1.0,493,493,1.0,0.3023,153.0,0.302
39364,大川村,130,130,1.0,130,130,1.0,0.4085,61.0,0.408
39387,仁淀川町,2633,2576,0.9784,2633,2576,0.9784,0.3893,1045.0,0.398
32525,海士町,832,798,0.9591,798,798,0.9591,0.5541,501.0,0.578
32449,邑南町,4616,4311,0.9339,4493,3862,0.8367,0.3778,1731.0,0.404
39344,大豊町,1897,1766,0.9309,1828,1760,0.9278,0.4295,819.0,0.461
39412,四万十町,6990,6485,0.9278,6583,5940,0.8498,0.2755,1923.0,0.297
32505,吉賀町,2703,2502,0.9256,2640,2089,0.7728,0.4045,1100.0,0.437
04302,七ヶ宿町,586,541,0.9232,586,541,0.9232,0.4212,246.0,0.456
39424,大月町,2080,1912,0.9192,1979,1800,0.8654,0.3136,682.0,0.341
32386,飯南町,2116,1929,0.9116,1950,1747,0.8256,0.2904,614.0,0.319
32448,美郷町,2074,1883,0.9079,1883,1854,0.8939,0.3682,767.0,0.406
04422,大郷町,2987,2694,0.9019,2987,2462,0.8242,0.1664,502.0,0.184
32343,奥出雲町,5132,4612,0.8987,5046,4398,0.857,0.3015,1547.0,0.336
39405,檮原町,1523,1366,0.8969,1366,1338,0.8785,0.3783,579.0,0.422
39428,黒潮町,4266,3803,0.8915,3939,3087,0.7236,0.272,1255.0,0.305
04606,南三陸町,4611,4090,0.887,4430,3256,0.7061,0.2522,1187.0,0.284
39302,奈半利町,1390,1231,0.8856,1231,644,0.4633,0.3658,519.0,0.413
04341,丸森町,5308,4699,0.8853,5071,4296,0.8093,0.2378,1259.0,0.269
39411,津野町,2414,2133,0.8836,2414,2120,0.8782,0.2385,570.0,0.27
04424,大衡村,1747,1529,0.8752,1747,1271,0.7275,0.1886,322.0,0.215
32526,西ノ島町,1090,951,0.8725,951,942,0.8642,0.546,704.0,0.626
39202,室戸市,5450,4673,0.8574,5233,4048,0.7428,0.3316,2003.0,0.387
04301,蔵王町,4364,3721,0.8527,4044,3235,0.7413,0.2242,979.0,0.263
39208,宿毛市,7292,6203,0.8507,7022,4721,0.6474,0.2467,1817.0,0.29
32528,隠岐の島町,5282,4466,0.8455,4993,3277,0.6204,0.4601,2563.0,0.544
32209,雲南市,14438,12176,0.8433,13551,11128,0.7707,0.2238,3228.0,0.265
39306,馬路村,305,257,0.8426,257,193,0.6328,0.2598,79.0,0.308
39211,香南市,10389,8708,0.8382,9534,6115,0.5886,0.2298,2402.0,0.274
39410,日高村,1982,1658,0.8365,1855,1309,0.6604,0.1775,368.0,0.212
39307,芸西村,1413,1172,0.8294,1209,894,0.6327,0.2648,394.0,0.319
04444,色麻町,2351,1936,0.8235,2274,1520,0.6465,0.1791,420.0,0.217
32205,大田市,12517,10274,0.8208,11191,8533,0.6817,0.3334,4422.0,0.406
32204,益田市,16754,13641,0.8142,15011,10030,0.5987,0.3179,5410.0,0.391
39206,須崎市,8294,6697,0.8075,7727,4907,0.5916,0.263,2198.0,0.326
32501,津和野町,3348,2688,0.8029,2713,2407,0.7189,0.4121,1375.0,0.513
04362,山元町,4931,3933,0.7976,4809,2813,0.5705,0.2718,1344.0,0.341
32206,安来市,13857,10999,0.7938,13171,8507,0.6139,0.2208,3055.0,0.278
04212,登米市,26932,21298,0.7908,25219,17513,0.6503,0.2047,5518.0,0.259
04213,栗原市,26271,20720,0.7887,23887,17028,0.6482,0.2297,6018.0,0.291
39203,安芸市,6467,5100,0.7886,5241,4088,0.6321,0.2816,1869.0,0.357
04324,川崎町,3186,2505,0.7863,3072,1837,0.5766,0.2015,647.0,0.256
