cat,都道府県,マスター件数,ATP件数,ATP純増,投入後件数,実数統計,カバー率_現行,カバー率_ATP単独,カバー率_投入後
convenience,三重県,704,784,213,917,789,0.892,0.994,1.162
convenience,京都府,968,1052,156,1124,1062,0.911,0.991,1.058
convenience,佐賀県,360,371,80,440,358,1.006,1.036,1.229
convenience,兵庫県,1798,1955,307,2105,1990,0.904,0.982,1.058
convenience,北海道,3268,3064,279,3547,3003,1.088,1.020,1.181
convenience,千葉県,2753,2737,404,3157,2634,1.045,1.039,1.199
convenience,和歌山県,346,357,74,420,375,0.923,0.952,1.120
convenience,埼玉県,2681,2970,678,3359,2866,0.935,1.036,1.172
convenience,大分県,507,519,104,611,516,0.983,1.006,1.184
convenience,大阪府,3400,4017,436,3836,3904,0.871,1.029,0.983
convenience,奈良県,434,438,91,525,460,0.943,0.952,1.141
convenience,宮城県,1164,1172,181,1345,1165,0.999,1.006,1.155
convenience,宮崎県,445,452,76,521,435,1.023,1.039,1.198
convenience,富山県,456,467,98,554,477,0.956,0.979,1.161
convenience,山口県,586,546,105,691,552,1.062,0.989,1.252
convenience,山形県,461,427,79,540,444,1.038,0.962,1.216
convenience,山梨県,456,450,63,519,457,0.998,0.985,1.136
convenience,岐阜県,838,819,192,1030,850,0.986,0.964,1.212
convenience,岡山県,834,813,129,963,803,1.039,1.012,1.199
convenience,岩手県,558,568,103,661,543,1.028,1.046,1.217
convenience,島根県,308,272,50,358,269,1.145,1.011,1.331
convenience,広島県,1174,1181,199,1373,1189,0.987,0.993,1.155
convenience,徳島県,322,310,64,386,321,1.003,0.966,1.202
convenience,愛媛県,585,565,108,693,584,1.002,0.967,1.187
convenience,愛知県,3494,3575,574,4068,3552,0.984,1.006,1.145
convenience,新潟県,967,878,147,1114,895,1.080,0.981,1.245
convenience,東京都,6292,7108,726,7018,7126,0.883,0.997,0.985
convenience,栃木県,928,948,187,1115,921,1.008,1.029,1.211
convenience,沖縄県,703,810,160,863,689,1.020,1.176,1.253
convenience,滋賀県,538,532,90,628,554,0.971,0.960,1.134
convenience,熊本県,725,797,175,900,779,0.931,1.023,1.155
convenience,石川県,506,494,89,595,498,1.016,0.992,1.195
convenience,神奈川県,3443,3774,601,4044,3624,0.950,1.041,1.116
convenience,福井県,341,337,60,401,334,1.021,1.009,1.201
convenience,福岡県,2195,2311,368,2563,2271,0.967,1.018,1.129
convenience,福島県,951,883,144,1095,906,1.050,0.975,1.209
convenience,秋田県,461,450,67,528,458,1.007,0.983,1.153
convenience,群馬県,1046,896,109,1155,905,1.156,0.990,1.276
convenience,茨城県,1456,1408,283,1739,1418,1.027,0.993,1.226
