都道府県,都道府県コード,市区町村数,総65歳以上人口,店舗数_ATP11,店舗数_JFF単独,圏外率_ATP11,圏外率_JFF単独,圏外率差,スーパー圏外率_ATP11,スーパー圏外率_JFF単独,相関r_ATP11,相関r_JFF単独,比1超_ATP11,比1超_JFF単独
北海道,01,179,1662980,5893,8092,0.3852,0.3807,-0.0045,0.7071,0.7915,0.339,0.259,3,4
青森県,02,40,412326,1372,382,0.6193,0.8816,0.2623,0.8615,0.9531,0.506,0.376,0,0
岩手県,03,33,404377,1378,1987,0.682,0.673,-0.009,0.8558,0.9384,0.208,0.133,0,0
宮城県,04,35,638817,2911,1488,0.4774,0.6662,0.1888,0.7778,0.8745,0.044,0.019,0,0
秋田県,05,25,357551,1147,341,0.6622,0.8528,0.1906,0.8672,0.9583,0.468,0.27,0,0
山形県,06,35,359521,1526,1692,0.5583,0.5573,-0.001,0.7806,0.8822,0.086,0.14,0,0
福島県,07,58,572794,1874,1059,0.6337,0.7683,0.1346,0.8555,0.9458,0.176,0.222,0,0
茨城県,08,44,839756,2910,1324,0.635,0.8088,0.1738,0.8668,0.9395,-0.327,-0.341,0,0
栃木県,09,25,554552,2124,1776,0.5782,0.6343,0.0561,0.8215,0.8948,-0.404,-0.337,0,0
群馬県,10,35,576662,2068,2312,0.5547,0.5634,0.0087,0.8275,0.9032,0.108,0.032,1,0
埼玉県,11,63,1935546,6001,3330,0.3171,0.5443,0.2272,0.64,0.7499,0.002,0.102,11,0
千葉県,12,54,1699743,5591,5944,0.4089,0.4482,0.0393,0.6967,0.7769,-0.295,-0.186,5,2
東京都,13,62,3108115,13892,7998,0.0996,0.2618,0.1622,0.3379,0.5981,0.903,0.917,47,14
神奈川県,14,33,2308038,7684,4200,0.2448,0.4764,0.2316,0.5775,0.8138,0.263,0.489,16,1
新潟県,15,30,715386,2173,527,0.5677,0.8395,0.2718,0.8095,0.9702,0.402,0.317,0,0
富山県,16,15,332750,1102,1508,0.5968,0.55,-0.0468,0.834,0.8943,0.302,0.523,0,0
石川県,17,19,333102,1231,1724,0.4944,0.4645,-0.0299,0.762,0.9124,0.308,0.276,1,1
福井県,18,17,232384,860,577,0.5526,0.6613,0.1087,0.8063,0.9432,0.63,0.377,0,0
山梨県,19,27,245877,962,1302,0.5523,0.5103,-0.042,0.8073,0.9239,0.695,0.373,0,1
長野県,20,77,646950,2035,2179,0.6472,0.6782,0.031,0.8567,0.9371,0.217,0.098,0,0
岐阜県,21,42,593805,1879,1042,0.6013,0.7528,0.1515,0.837,0.9305,0.297,0.12,1,0
静岡県,22,35,1083747,3904,4627,0.4387,0.4376,-0.0011,0.7062,0.8189,0.468,0.352,0,0
愛知県,23,54,1864405,6785,2625,0.3304,0.6147,0.2843,0.7034,0.8908,0.3,0.372,6,0
三重県,24,29,521401,1750,702,0.6296,0.8175,0.1879,0.8475,0.9553,0.056,0.005,0,0
滋賀県,25,19,365251,1335,1103,0.5788,0.6598,0.081,0.8065,0.8827,0.248,0.065,0,0
京都府,26,26,734338,2567,2563,0.3202,0.3465,0.0263,0.5636,0.7008,0.189,0.055,5,6
大阪府,27,43,2361428,7869,6342,0.201,0.347,0.146,0.5075,0.6492,0.803,0.837,16,3
兵庫県,28,41,1545782,4558,1911,0.4169,0.6347,0.2178,0.6678,0.8414,0.781,0.775,2,0
奈良県,29,39,414554,1057,493,0.5432,0.759,0.2158,0.7961,0.9141,0.454,0.261,0,0
和歌山県,30,30,305242,1020,920,0.5588,0.6937,0.1349,0.7795,0.8927,0.362,0.149,0,2
鳥取県,31,19,176977,610,469,0.614,0.7024,0.0884,0.8096,0.8704,0.352,0.287,0,0
島根県,32,19,227546,740,234,0.7082,0.8879,0.1797,0.8439,0.9627,0.641,0.453,0,0
岡山県,33,27,557718,1766,1667,0.6061,0.6682,0.0621,0.8154,0.8874,0.276,0.115,0,0
広島県,34,23,809792,2563,2992,0.5266,0.5404,0.0138,0.7267,0.819,0.59,0.513,0,0
山口県,35,19,458936,1242,1714,0.6355,0.6301,-0.0054,0.8225,0.8881,0.517,0.215,0,0
徳島県,36,24,238124,736,621,0.6377,0.7093,0.0716,0.8267,0.9071,0.511,0.18,0,0
香川県,37,17,296039,983,1066,0.5943,0.6439,0.0496,0.7891,0.8824,0.114,0.067,0,0
愛媛県,38,20,432409,1356,2145,0.5282,0.5075,-0.0207,0.7647,0.8398,0.749,0.754,0,0
高知県,39,34,241376,712,1092,0.5953,0.5517,-0.0436,0.7642,0.8414,0.456,0.198,0,0
福岡県,40,60,1394598,4686,4903,0.4425,0.5448,0.1023,0.6902,0.8051,0.421,0.496,1,1
佐賀県,41,20,246100,783,653,0.6622,0.7451,0.0829,0.847,0.9242,-0.451,-0.514,0,0
長崎県,42,21,427110,1170,1808,0.6176,0.6124,-0.0052,0.7836,0.8574,0.786,0.338,0,0
熊本県,43,45,538606,1725,2552,0.591,0.5884,-0.0026,0.7837,0.8705,0.437,0.224,0,0
大分県,44,18,368404,1186,490,0.5756,0.7802,0.2046,0.7775,0.8902,0.551,0.566,0,0
宮崎県,45,26,344280,1096,911,0.6008,0.7017,0.1009,0.7774,0.8739,0.717,0.482,0,0
鹿児島県,46,43,504904,1540,915,0.6436,0.7719,0.1283,0.8105,0.9392,0.754,0.48,0,0
沖縄県,47,41,324382,1669,1460,0.3296,0.4319,0.1023,0.6005,0.8056,0.711,0.558,3,5
