都道府県,Overture,OSM,商業動態実数2021,Overtureカバー率,OSMカバー率
東京都,6292,6915,7126,0.883,0.97
大阪府,3400,3657,3904,0.871,0.937
神奈川県,3443,3358,3624,0.95,0.927
愛知県,3494,2647,3552,0.984,0.745
北海道,3268,2427,3003,1.088,0.808
埼玉県,2681,2672,2866,0.935,0.932
千葉県,2753,2441,2634,1.045,0.927
福岡県,2195,1649,2271,0.967,0.726
兵庫県,1798,1716,1990,0.904,0.862
静岡県,1632,1501,1682,0.97,0.892
茨城県,1456,1165,1418,1.027,0.822
広島県,1174,813,1189,0.987,0.684
宮城県,1164,1202,1165,0.999,1.032
京都府,968,1025,1062,0.911,0.965
長野県,933,773,936,0.997,0.826
栃木県,928,823,921,1.008,0.894
福島県,951,657,906,1.05,0.725
群馬県,1046,914,905,1.156,1.01
新潟県,967,613,895,1.08,0.685
岐阜県,838,486,850,0.986,0.572
岡山県,834,712,803,1.039,0.887
三重県,704,632,789,0.892,0.801
熊本県,725,454,779,0.931,0.583
沖縄県,703,745,689,1.02,1.081
鹿児島県,647,652,668,0.969,0.976
青森県,631,550,611,1.033,0.9
愛媛県,585,451,584,1.002,0.772
滋賀県,538,458,554,0.971,0.827
山口県,586,391,552,1.062,0.708
岩手県,558,441,543,1.028,0.812
長崎県,493,293,528,0.934,0.555
大分県,507,305,516,0.983,0.591
石川県,506,374,498,1.016,0.751
富山県,456,302,477,0.956,0.633
奈良県,435,381,460,0.946,0.828
秋田県,461,461,458,1.007,1.007
山梨県,456,505,457,0.998,1.105
山形県,461,453,444,1.038,1.02
宮崎県,445,380,435,1.023,0.874
香川県,408,373,409,0.998,0.912
和歌山県,346,414,375,0.923,1.104
佐賀県,360,220,358,1.006,0.615
福井県,341,280,334,1.021,0.838
徳島県,322,253,321,1.003,0.788
高知県,304,226,288,1.056,0.785
島根県,308,207,269,1.145,0.77
鳥取県,292,235,254,1.15,0.925
