都道府県,Overture_drugstore,OSM_chemist,センサス6031,商業動態実数2021,Overtureカバー率,OSMカバー率
東京都,973,709,2131,1900,0.512,0.373
愛知県,414,303,1057,1189,0.348,0.255
神奈川県,556,297,1349,1175,0.473,0.253
埼玉県,511,193,1199,1117,0.457,0.173
大阪府,379,279,1121,1052,0.36,0.265
千葉県,382,151,979,882,0.433,0.171
北海道,290,253,871,706,0.411,0.358
兵庫県,222,133,669,660,0.336,0.202
福岡県,377,118,542,612,0.616,0.193
静岡県,314,123,582,551,0.57,0.223
岐阜県,179,52,391,451,0.397,0.115
茨城県,154,46,475,438,0.352,0.105
新潟県,104,114,461,368,0.283,0.31
宮城県,212,69,440,362,0.586,0.191
京都府,94,95,369,344,0.273,0.276
群馬県,151,108,387,333,0.453,0.324
広島県,142,83,377,324,0.438,0.256
栃木県,139,34,334,319,0.436,0.107
三重県,101,40,237,263,0.384,0.152
福島県,105,52,321,257,0.409,0.202
愛媛県,107,71,217,253,0.423,0.281
長野県,92,32,348,252,0.365,0.127
石川県,125,31,237,251,0.498,0.124
岩手県,102,34,264,237,0.43,0.143
滋賀県,89,42,201,228,0.39,0.184
岡山県,85,124,250,210,0.405,0.59
富山県,95,51,214,206,0.461,0.248
山口県,63,79,158,203,0.31,0.389
鹿児島県,45,139,184,203,0.222,0.685
青森県,121,63,225,198,0.611,0.318
山形県,82,49,218,189,0.434,0.259
熊本県,67,49,146,175,0.383,0.28
福井県,118,71,129,169,0.698,0.42
秋田県,85,31,170,154,0.552,0.201
奈良県,43,39,142,140,0.307,0.279
山梨県,60,40,129,133,0.451,0.301
香川県,74,46,141,133,0.556,0.346
長崎県,69,43,122,129,0.535,0.333
宮崎県,60,49,79,127,0.472,0.386
大分県,28,43,90,122,0.23,0.352
和歌山県,48,22,89,102,0.471,0.216
高知県,37,21,95,99,0.374,0.212
徳島県,55,21,82,87,0.632,0.241
佐賀県,45,5,79,86,0.523,0.058
島根県,61,31,72,82,0.744,0.378
鳥取県,42,42,86,79,0.532,0.532
沖縄県,34,27,146,72,0.472,0.375
