prefecture,Phase1（Overture+OSM）,公開可能（Overture+許可・ODbL無し）,公開可能（Overture+OSM+許可）,ATP基準＋許可⑪（現行・非公開）,差
三重県,59.9,72.3,72.3,100.0,12.4
京都府,60.4,80.7,80.7,100.0,20.3
佐賀県,69.8,80.2,80.2,100.0,10.4
兵庫県,63.7,73.7,73.7,100.0,10.0
北海道,76.2,88.2,88.2,100.0,12.0
千葉県,68.8,83.6,83.6,100.0,14.8
和歌山県,65.2,81.0,81.0,100.0,15.8
埼玉県,65.4,77.5,77.5,100.0,12.1
大分県,63.4,77.1,77.1,100.0,13.7
大阪府,65.7,78.3,78.3,100.0,12.6
奈良県,59.1,74.0,74.0,100.0,14.9
宮城県,69.9,80.3,80.3,100.0,10.4
宮崎県,70.6,83.5,83.5,100.0,12.9
富山県,61.0,86.3,86.3,100.0,25.3
山口県,62.8,82.5,82.5,100.0,19.7
山形県,61.4,77.3,77.3,100.0,15.9
山梨県,71.3,86.5,86.5,100.0,15.2
岐阜県,61.6,76.2,76.2,100.0,14.6
岡山県,69.6,85.8,85.8,100.0,16.2
岩手県,63.9,78.2,78.2,100.0,14.3
島根県,68.3,77.3,77.3,100.0,9.0
広島県,65.3,84.3,84.3,100.0,19.0
徳島県,67.4,79.8,79.8,100.0,12.4
愛媛県,64.9,83.5,83.5,100.0,18.6
愛知県,66.3,80.3,80.3,100.0,14.0
新潟県,58.7,74.9,74.9,100.0,16.2
東京都,73.4,81.3,81.3,100.0,7.9
栃木県,62.9,81.7,81.7,100.0,18.8
沖縄県,66.2,71.7,71.7,100.0,5.5
滋賀県,64.0,83.0,83.0,100.0,19.0
熊本県,63.4,81.5,81.5,100.0,18.1
石川県,62.8,84.6,84.6,100.0,21.8
神奈川県,67.9,79.5,79.5,100.0,11.6
福井県,68.2,83.2,83.2,100.0,15.0
福岡県,72.2,83.0,83.0,100.0,10.8
福島県,66.7,76.6,76.6,100.0,9.9
秋田県,69.3,75.4,75.4,100.0,6.1
群馬県,68.6,86.3,86.3,100.0,17.7
茨城県,63.1,76.0,76.0,100.0,12.9
長崎県,68.3,82.1,82.1,100.0,13.8
長野県,66.5,81.1,81.1,100.0,14.6
青森県,72.9,76.6,76.6,100.0,3.7
静岡県,70.4,86.5,86.5,100.0,16.1
香川県,67.2,83.7,83.7,100.0,16.5
高知県,67.1,85.3,85.3,100.0,18.2
鳥取県,67.7,84.1,84.1,100.0,16.4
鹿児島県,61.7,78.6,78.6,100.0,16.9
,2.2,16.7,16.7,100.0,14.5
