市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
04302,七ヶ宿町,586,586,1.0,586,586,1.0,0.4212,246.0,0.421
32527,知夫村,269,269,1.0,269,269,1.0,0.6625,188.0,0.663
39364,大川村,130,130,1.0,130,130,1.0,0.4085,61.0,0.408
39427,三原村,683,671,0.9824,683,671,0.9824,0.2802,189.0,0.285
39387,仁淀川町,2633,2544,0.9662,2633,2275,0.864,0.3893,1045.0,0.403
32525,海士町,832,798,0.9591,798,798,0.9591,0.5541,501.0,0.578
32505,吉賀町,2703,2559,0.9467,2640,2146,0.7939,0.4045,1100.0,0.427
32449,邑南町,4616,4311,0.9339,4493,3862,0.8367,0.3778,1731.0,0.404
39344,大豊町,1897,1770,0.9331,1828,1762,0.9288,0.4295,819.0,0.46
32343,奥出雲町,5132,4679,0.9117,5046,4457,0.8685,0.3015,1547.0,0.331
32386,飯南町,2116,1929,0.9116,1950,1747,0.8256,0.2904,614.0,0.319
32448,美郷町,2074,1883,0.9079,1883,1854,0.8939,0.3682,767.0,0.406
04341,丸森町,5308,4811,0.9064,5071,4296,0.8093,0.2378,1259.0,0.262
39304,安田町,1032,928,0.8992,1032,802,0.7771,0.3448,373.0,0.383
39411,津野町,2414,2168,0.8981,2414,1958,0.8111,0.2385,570.0,0.266
39301,東洋町,980,870,0.8878,980,558,0.5694,0.4459,498.0,0.502
04424,大衡村,1747,1529,0.8752,1747,1249,0.7149,0.1886,322.0,0.215
39405,檮原町,1523,1333,0.8752,1366,1181,0.7754,0.3783,579.0,0.432
04301,蔵王町,4364,3809,0.8728,4044,3209,0.7353,0.2242,979.0,0.257
32526,西ノ島町,1090,951,0.8725,951,942,0.8642,0.546,704.0,0.626
04422,大郷町,2987,2577,0.8627,2987,2445,0.8185,0.1664,502.0,0.193
32209,雲南市,14438,12453,0.8625,13551,10964,0.7594,0.2238,3228.0,0.259
39412,四万十町,6990,5953,0.8516,6583,5152,0.7371,0.2755,1923.0,0.324
32528,隠岐の島町,5282,4488,0.8497,4993,3373,0.6386,0.4601,2563.0,0.542
39306,馬路村,305,257,0.8426,257,193,0.6328,0.2598,79.0,0.308
04606,南三陸町,4611,3862,0.8376,4430,3157,0.6847,0.2522,1187.0,0.301
32205,大田市,12517,10428,0.8331,11345,8630,0.6895,0.3334,4422.0,0.4
39424,大月町,2080,1729,0.8313,1979,1601,0.7697,0.3136,682.0,0.377
39305,北川村,493,409,0.8296,493,379,0.7688,0.3023,153.0,0.364
39211,香南市,10389,8589,0.8267,9660,6048,0.5822,0.2298,2402.0,0.278
04444,色麻町,2351,1936,0.8235,2274,1520,0.6465,0.1791,420.0,0.217
04324,川崎町,3186,2610,0.8192,3072,2146,0.6736,0.2015,647.0,0.246
04362,山元町,4931,4024,0.8161,4809,2949,0.5981,0.2718,1344.0,0.333
32204,益田市,16754,13641,0.8142,15011,10030,0.5987,0.3179,5410.0,0.391
32501,津和野町,3348,2688,0.8029,2713,2407,0.7189,0.4121,1375.0,0.513
32206,安来市,13857,11046,0.7971,13299,8561,0.6178,0.2208,3055.0,0.277
04212,登米市,26932,21421,0.7954,25219,17715,0.6578,0.2047,5518.0,0.257
04213,栗原市,26271,20890,0.7952,23887,17164,0.6533,0.2297,6018.0,0.289
32207,江津市,8990,7145,0.7948,8241,5401,0.6008,0.3404,3067.0,0.428
04581,女川町,2325,1844,0.7931,2057,1178,0.5067,0.3776,881.0,0.476
32441,川本町,1435,1128,0.7861,1281,952,0.6634,0.3667,525.0,0.466
39203,安芸市,6467,5053,0.7814,5241,3909,0.6045,0.2816,1869.0,0.36
39307,芸西村,1413,1103,0.7806,1209,800,0.5662,0.2648,394.0,0.339
39341,本山町,1643,1271,0.7736,1390,1168,0.7109,0.3137,489.0,0.406
39402,佐川町,5146,3947,0.767,4515,3329,0.6469,0.2208,1117.0,0.288
32202,浜田市,19317,14813,0.7668,17790,11932,0.6177,0.3446,6702.0,0.449
04322,村田町,3686,2797,0.7588,3395,2053,0.557,0.2386,903.0,0.314
39410,日高村,1982,1501,0.7573,1855,991,0.5,0.1775,368.0,0.234
39202,室戸市,5450,4095,0.7514,5233,3205,0.5881,0.3316,2003.0,0.441
04505,美里町,8562,6407,0.7483,8236,4412,0.5153,0.2642,2258.0,0.353
39204,南国市,14806,11016,0.744,14225,8540,0.5768,0.2081,3091.0,0.28
04361,亘理町,10418,7661,0.7354,9635,5608,0.5383,0.2355,2446.0,0.32
04406,利府町,9181,6747,0.7349,8088,4529,0.4933,0.21,1816.0,0.286
39208,宿毛市,7292,5317,0.7292,7025,3646,0.5,0.2467,1817.0,0.338
32203,出雲市,51558,37447,0.7263,44205,27530,0.534,0.2499,12980.0,0.344
04421,大和町,6739,4861,0.7213,5811,2856,0.4238,0.2583,1679.0,0.358
39303,田野町,1027,725,0.7059,1027,279,0.2717,0.2095,222.0,0.297
04208,角田市,10160,7156,0.7043,8766,5666,0.5577,0.2144,2147.0,0.304
04206,白石市,11676,8201,0.7024,10412,6294,0.5391,0.2405,2802.0,0.342
39428,黒潮町,4266,2953,0.6922,3939,2175,0.5098,0.272,1255.0,0.393
39386,いの町,8484,5869,0.6918,7214,3632,0.4281,0.193,1622.0,0.279
39210,四万十市,12005,8264,0.6884,10357,6317,0.5262,0.251,3017.0,0.365
04214,東松島市,11482,7777,0.6773,9812,4049,0.3526,0.2627,3044.0,0.388
04501,涌谷町,5780,3904,0.6754,5316,3393,0.587,0.226,1310.0,0.335
04205,気仙沼市,22916,15143,0.6608,20174,11687,0.51,0.2876,6741.0,0.435
04445,加美町,8152,5382,0.6602,7045,4087,0.5013,0.2007,1633.0,0.304
04215,大崎市,38697,25421,0.6569,34406,17722,0.458,0.2492,9654.0,0.379
39401,中土佐町,2848,1839,0.6457,1907,1418,0.4979,0.2755,798.0,0.427
32201,松江市,58699,37629,0.6411,48047,23666,0.4032,0.2661,15831.0,0.415
39403,越知町,2420,1543,0.6376,2142,1278,0.5281,0.2633,643.0,0.413
39209,土佐清水市,5825,3570,0.6129,4439,3063,0.5258,0.3198,2002.0,0.522
39206,須崎市,8294,5045,0.6083,7727,4407,0.5313,0.263,2198.0,0.432
39363,土佐町,1735,1038,0.5983,1066,953,0.5493,0.2306,415.0,0.385
04404,七ヶ浜町,5318,3176,0.5972,4844,1886,0.3546,0.2545,1436.0,0.426
04207,名取市,19113,11384,0.5956,15757,5387,0.2819,0.2264,4048.0,0.38
39212,香美市,10198,6026,0.5909,8351,4890,0.4795,0.325,3290.0,0.55
04323,柴田町,11096,6523,0.5879,9116,2536,0.2286,0.2327,2567.0,0.396
39205,土佐市,8773,5102,0.5816,7789,3320,0.3784,0.1855,1755.0,0.319
04202,石巻市,46407,26062,0.5616,37945,16219,0.3495,0.2411,11213.0,0.429
39302,奈半利町,1390,775,0.5576,1231,416,0.2993,0.3658,519.0,0.656
04401,松島町,5170,2841,0.5495,4787,1938,0.3749,0.2977,1552.0,0.542
04321,大河原町,6352,3413,0.5373,5464,1203,0.1894,0.2221,1448.0,0.413
04203,塩竈市,18149,9142,0.5037,15113,1758,0.0969,0.261,4614.0,0.518
04211,岩沼市,11514,4955,0.4303,10540,2309,0.2005,0.1994,2344.0,0.463
04216,富谷市,10790,4522,0.4191,8860,1880,0.1742,0.233,2597.0,0.556
39201,高知市,95808,38821,0.4052,70846,18619,0.1943,0.2081,19955.0,0.513
04100,仙台市,255567,101552,0.3974,183251,35829,0.1402,0.2791,71785.0,0.702
04209,多賀城市,15566,5120,0.3289,12763,1038,0.0667,0.2527,3914.0,0.768
