都道府県,候補,既存と一致,純増,純増率(%),マスターfresh_food,実数統計,現状率(%),投入後率(%)
三重県,218,53,165,75.7,160,530,30.2,61.3
京都府,821,261,560,68.2,259,736,35.2,111.3
佐賀県,241,71,170,70.5,47,361,13.0,60.1
兵庫県,422,245,177,41.9,525,1331,39.4,52.7
北海道,1900,691,1209,63.6,348,1444,24.1,107.8
千葉県,1042,396,646,62.0,344,1161,29.6,85.3
和歌山県,493,115,378,76.7,155,407,38.1,131.0
埼玉県,350,154,196,56.0,332,1155,28.7,45.7
大分県,574,114,460,80.1,101,510,19.8,110.0
大阪府,2555,1704,851,33.3,615,1872,32.9,78.3
奈良県,139,62,77,55.4,90,323,27.9,51.7
宮城県,239,89,150,62.8,622,646,96.3,119.5
宮崎県,310,60,250,80.6,81,427,19.0,77.5
富山県,508,149,359,70.7,86,422,20.4,105.5
山口県,563,204,359,63.8,49,567,8.6,72.0
山形県,693,256,437,63.1,382,549,69.6,149.2
山梨県,549,135,414,75.4,74,330,22.4,147.9
岐阜県,196,64,132,67.3,95,423,22.5,53.7
岡山県,494,145,349,70.6,167,523,31.9,98.7
岩手県,757,157,600,79.3,111,428,25.9,166.1
島根県,27,10,17,63.0,71,238,29.8,37.0
広島県,892,264,628,70.4,119,673,17.7,111.0
徳島県,169,20,149,88.2,49,244,20.1,81.1
愛媛県,973,298,675,69.4,54,470,11.5,155.1
愛知県,225,76,149,66.2,332,1202,27.6,40.0
新潟県,33,6,27,81.8,180,688,26.2,30.1
東京都,1562,1118,444,28.4,1274,2800,45.5,61.4
栃木県,358,90,268,74.9,151,517,29.2,81.0
沖縄県,945,333,612,64.8,94,481,19.5,146.8
滋賀県,228,81,147,64.5,146,308,47.4,95.1
熊本県,871,188,683,78.4,115,775,14.8,103.0
石川県,708,245,463,65.4,69,373,18.5,142.6
神奈川県,667,420,247,37.0,637,1807,35.3,48.9
福井県,212,70,142,67.0,77,292,26.4,75.0
福岡県,1920,1071,849,44.2,327,2166,15.1,54.3
福島県,351,103,248,70.7,158,649,24.3,62.6
秋田県,75,17,58,77.3,204,391,52.2,67.0
群馬県,526,133,393,74.7,138,508,27.2,104.5
茨城県,176,41,135,76.7,186,807,23.0,39.8
長崎県,746,292,454,60.9,79,687,11.5,77.6
長野県,988,231,757,76.6,159,571,27.8,160.4
青森県,103,34,69,67.0,179,502,35.7,49.4
静岡県,1269,422,847,66.7,345,1121,30.8,106.3
香川県,370,51,319,86.2,75,281,26.7,140.2
高知県,498,130,368,73.9,46,405,11.4,102.2
鳥取県,158,47,111,70.3,32,145,22.1,98.6
鹿児島県,905,223,682,75.4,131,714,18.3,113.9
