都道府県,候補,既存と一致,純増,純増率(%),マスターfresh_food,実数統計,現状率(%),投入後率(%)
三重県,739,98,641,86.7,160,530,30.2,151.1
京都府,1736,732,1004,57.8,259,736,35.2,171.6
佐賀県,248,96,152,61.3,47,361,13.0,55.1
兵庫県,515,322,193,37.5,525,1331,39.4,53.9
北海道,2095,819,1276,60.9,348,1444,24.1,112.5
千葉県,1158,468,690,59.6,344,1161,29.6,89.1
和歌山県,498,122,376,75.5,155,407,38.1,130.5
埼玉県,423,195,228,53.9,332,1155,28.7,48.5
大分県,594,137,457,76.9,101,510,19.8,109.4
大阪府,2905,2018,887,30.5,615,1872,32.9,80.2
奈良県,142,76,66,46.5,90,323,27.9,48.3
宮城県,242,116,126,52.1,622,646,96.3,115.8
宮崎県,314,75,239,76.1,81,427,19.0,74.9
富山県,756,183,573,75.8,86,422,20.4,156.2
山口県,563,219,344,61.1,49,567,8.6,69.3
山形県,827,287,540,65.3,382,549,69.6,167.9
山梨県,596,145,451,75.7,74,330,22.4,159.1
岐阜県,642,146,496,77.3,95,423,22.5,139.7
岡山県,493,162,331,67.1,167,523,31.9,95.2
岩手県,765,179,586,76.6,111,428,25.9,162.9
島根県,27,11,16,59.3,71,238,29.8,36.6
広島県,874,291,583,66.7,119,673,17.7,104.3
徳島県,172,24,148,86.0,49,244,20.1,80.7
愛媛県,1075,355,720,67.0,54,470,11.5,164.7
愛知県,347,130,217,62.5,332,1202,27.6,45.7
新潟県,35,8,27,77.1,180,688,26.2,30.1
東京都,2117,1447,670,31.6,1274,2800,45.5,69.4
栃木県,427,103,324,75.9,151,517,29.2,91.9
沖縄県,1106,381,725,65.6,94,481,19.5,170.3
滋賀県,308,112,196,63.6,146,308,47.4,111.0
熊本県,899,233,666,74.1,115,775,14.8,100.8
石川県,708,272,436,61.6,69,373,18.5,135.4
神奈川県,897,580,317,35.3,637,1807,35.3,52.8
福井県,269,90,179,66.5,77,292,26.4,87.7
福岡県,2001,1126,875,43.7,327,2166,15.1,55.5
福島県,467,143,324,69.4,158,649,24.3,74.3
秋田県,140,59,81,57.9,204,391,52.2,72.9
群馬県,595,164,431,72.4,138,508,27.2,112.0
茨城県,183,56,127,69.4,186,807,23.0,38.8
長崎県,1023,369,654,63.9,79,687,11.5,106.7
長野県,1062,270,792,74.6,159,571,27.8,166.5
青森県,109,42,67,61.5,179,502,35.7,49.0
静岡県,1376,472,904,65.7,345,1121,30.8,111.4
香川県,371,61,310,83.6,75,281,26.7,137.0
高知県,517,140,377,72.9,46,405,11.4,104.4
鳥取県,162,52,110,67.9,32,145,22.1,97.9
鹿児島県,1353,326,1027,75.9,131,714,18.3,162.2
