市区町村コード,市区町村名,総65歳以上人口,圏外65歳以上人口_変種A,圏外率_変種A,圏外65歳以上人口_supermarketのみ,圏外65歳以上人口_変種C,圏外率_変種C,農水省_困難人口割合,農水省_困難人口,比_農水省÷変種A
04302,七ヶ宿町,586,586,1.0,586,586,1.0,0.4212,246.0,0.421
32527,知夫村,269,269,1.0,269,269,1.0,0.6625,188.0,0.663
39304,安田町,1032,1032,1.0,1032,1032,1.0,0.3448,373.0,0.345
39427,三原村,683,683,1.0,683,683,1.0,0.2802,189.0,0.28
39305,北川村,493,493,1.0,493,493,1.0,0.3023,153.0,0.302
39364,大川村,130,130,1.0,130,130,1.0,0.4085,61.0,0.408
39387,仁淀川町,2633,2576,0.9784,2633,2576,0.9784,0.3893,1045.0,0.398
39344,大豊町,1897,1828,0.9636,1828,1834,0.9668,0.4295,819.0,0.446
32525,海士町,832,798,0.9591,798,798,0.9591,0.5541,501.0,0.578
39411,津野町,2414,2301,0.9532,2404,2282,0.9453,0.2385,570.0,0.25
32505,吉賀町,2703,2559,0.9467,2640,2146,0.7939,0.4045,1100.0,0.427
32449,邑南町,4616,4311,0.9339,4403,3862,0.8367,0.3778,1731.0,0.404
39424,大月町,2080,1912,0.9192,1979,1800,0.8654,0.3136,682.0,0.341
39412,四万十町,6990,6405,0.9163,6445,5574,0.7974,0.2755,1923.0,0.301
32343,奥出雲町,5132,4679,0.9117,5046,4457,0.8685,0.3015,1547.0,0.331
04422,大郷町,2987,2712,0.9079,2987,2528,0.8463,0.1664,502.0,0.183
32448,美郷町,2074,1883,0.9079,1883,1854,0.8939,0.3682,767.0,0.406
04341,丸森町,5308,4811,0.9064,5071,4296,0.8093,0.2378,1259.0,0.262
39405,檮原町,1523,1366,0.8969,1366,1338,0.8785,0.3783,579.0,0.422
04606,南三陸町,4611,4120,0.8935,4430,3277,0.7107,0.2522,1187.0,0.282
32386,飯南町,2116,1880,0.8885,1901,1602,0.7571,0.2904,614.0,0.327
04301,蔵王町,4364,3866,0.8859,4044,3319,0.7605,0.2242,979.0,0.253
39302,奈半利町,1390,1231,0.8856,1231,644,0.4633,0.3658,519.0,0.413
04424,大衡村,1747,1529,0.8752,1747,1271,0.7275,0.1886,322.0,0.215
32526,西ノ島町,1090,951,0.8725,951,942,0.8642,0.546,704.0,0.626
32209,雲南市,14438,12471,0.8638,13283,10680,0.7397,0.2238,3228.0,0.259
39202,室戸市,5450,4673,0.8574,5233,4048,0.7428,0.3316,2003.0,0.387
39301,東洋町,980,837,0.8541,837,547,0.5582,0.4459,498.0,0.522
39208,宿毛市,7292,6203,0.8507,7022,4721,0.6474,0.2467,1817.0,0.29
32528,隠岐の島町,5282,4488,0.8497,4993,3373,0.6386,0.4601,2563.0,0.542
39306,馬路村,305,257,0.8426,257,193,0.6328,0.2598,79.0,0.308
39410,日高村,1982,1667,0.8411,1847,1322,0.667,0.1775,368.0,0.211
39428,黒潮町,4266,3582,0.8397,3642,2810,0.6587,0.272,1255.0,0.324
39307,芸西村,1413,1172,0.8294,1209,894,0.6327,0.2648,394.0,0.319
32205,大田市,12517,10334,0.8256,11057,8455,0.6755,0.3334,4422.0,0.404
39206,須崎市,8294,6831,0.8236,7703,4743,0.5719,0.263,2198.0,0.319
04444,色麻町,2351,1936,0.8235,2274,1520,0.6465,0.1791,420.0,0.217
39211,香南市,10389,8552,0.8232,9378,5829,0.5611,0.2298,2402.0,0.279
04324,川崎町,3186,2610,0.8192,3072,2146,0.6736,0.2015,647.0,0.246
04362,山元町,4931,4024,0.8161,4809,2949,0.5981,0.2718,1344.0,0.333
32206,安来市,13857,11204,0.8085,12685,8892,0.6417,0.2208,3055.0,0.273
32501,津和野町,3348,2688,0.8029,2713,2407,0.7189,0.4121,1375.0,0.513
32204,益田市,16754,13431,0.8017,14801,9913,0.5917,0.3179,5410.0,0.397
04213,栗原市,26271,20932,0.7968,23887,17237,0.6561,0.2297,6018.0,0.288
04212,登米市,26932,21433,0.7958,25101,17727,0.6582,0.2047,5518.0,0.257
32207,江津市,8990,7145,0.7948,8229,5416,0.6024,0.3404,3067.0,0.428
04581,女川町,2325,1844,0.7931,2057,1178,0.5067,0.3776,881.0,0.476
39203,安芸市,6467,5086,0.7865,5227,3988,0.6167,0.2816,1869.0,0.358
32441,川本町,1435,1128,0.7861,1281,952,0.6634,0.3667,525.0,0.466
39341,本山町,1643,1286,0.7827,1390,1193,0.7261,0.3137,489.0,0.401
39204,南国市,14806,11317,0.7644,13582,8260,0.5579,0.2081,3091.0,0.272
04406,利府町,9181,6982,0.7605,8088,4764,0.5189,0.21,1816.0,0.276
04322,村田町,3686,2797,0.7588,3395,2053,0.557,0.2386,903.0,0.314
39210,四万十市,12005,9097,0.7578,10295,7343,0.6117,0.251,3017.0,0.331
32202,浜田市,19317,14519,0.7516,17117,11394,0.5898,0.3446,6702.0,0.459
39402,佐川町,5146,3788,0.7361,4239,2952,0.5736,0.2208,1117.0,0.3
39386,いの町,8484,6195,0.7302,7177,3380,0.3984,0.193,1622.0,0.264
32203,出雲市,51558,37346,0.7243,43796,27421,0.5318,0.2499,12980.0,0.345
04421,大和町,6739,4870,0.7227,5785,2951,0.4379,0.2583,1679.0,0.357
04505,美里町,8562,6175,0.7212,8004,4057,0.4738,0.2642,2258.0,0.366
04361,亘理町,10418,7432,0.7134,9406,5321,0.5108,0.2355,2446.0,0.33
04206,白石市,11676,8278,0.709,10412,6294,0.5391,0.2405,2802.0,0.339
39209,土佐清水市,5825,4125,0.7082,4439,3653,0.6271,0.3198,2002.0,0.452
39303,田野町,1027,725,0.7059,804,298,0.2902,0.2095,222.0,0.297
39205,土佐市,8773,6139,0.6998,7714,4792,0.5462,0.1855,1755.0,0.265
04208,角田市,10160,6981,0.6871,8591,5666,0.5577,0.2144,2147.0,0.312
04501,涌谷町,5780,3904,0.6754,5248,3245,0.5614,0.226,1310.0,0.335
04214,東松島市,11482,7747,0.6747,9761,4108,0.3578,0.2627,3044.0,0.389
39403,越知町,2420,1615,0.6674,1622,1350,0.5579,0.2633,643.0,0.394
04205,気仙沼市,22916,15143,0.6608,20174,11687,0.51,0.2876,6741.0,0.435
04445,加美町,8152,5271,0.6466,6934,3902,0.4787,0.2007,1633.0,0.31
39401,中土佐町,2848,1839,0.6457,1907,1452,0.5098,0.2755,798.0,0.427
04215,大崎市,38697,24861,0.6425,32952,17637,0.4558,0.2492,9654.0,0.388
39212,香美市,10198,6374,0.625,8351,5131,0.5031,0.325,3290.0,0.52
32201,松江市,58699,36677,0.6248,46633,23202,0.3953,0.2661,15831.0,0.426
39363,土佐町,1735,1058,0.6098,1066,953,0.5493,0.2306,415.0,0.378
04207,名取市,19113,11623,0.6081,15585,5401,0.2826,0.2264,4048.0,0.372
04404,七ヶ浜町,5318,3176,0.5972,4844,1886,0.3546,0.2545,1436.0,0.426
04323,柴田町,11096,6283,0.5662,8876,2536,0.2286,0.2327,2567.0,0.411
04202,石巻市,46407,26062,0.5616,37945,16216,0.3494,0.2411,11213.0,0.429
04401,松島町,5170,2841,0.5495,4787,1938,0.3749,0.2977,1552.0,0.542
04321,大河原町,6352,3358,0.5287,5409,1203,0.1894,0.2221,1448.0,0.42
04203,塩竈市,18149,9142,0.5037,15113,1758,0.0969,0.261,4614.0,0.518
04216,富谷市,10790,5216,0.4834,8497,2081,0.1929,0.233,2597.0,0.482
39201,高知市,95808,42491,0.4435,65088,22903,0.2391,0.2081,19955.0,0.469
04211,岩沼市,11514,4984,0.4329,10540,2395,0.208,0.1994,2344.0,0.461
04100,仙台市,255567,103871,0.4064,181218,36976,0.1447,0.2791,71785.0,0.687
04209,多賀城市,15566,5120,0.3289,12763,1038,0.0667,0.2527,3914.0,0.768
