都道府県,候補,既存と一致,純増,純増率(%),マスターsupermarket,実数統計,現状率(%),投入後率(%)
三重県,133,85,48,36.1,453,338,134.0,148.2
京都府,418,312,106,25.4,736,464,158.6,181.5
佐賀県,113,48,65,57.5,214,179,119.6,155.9
兵庫県,392,302,90,23.0,1205,940,128.2,137.8
北海道,902,654,248,27.5,1391,1023,136.0,160.2
千葉県,953,709,244,25.6,1316,846,155.6,184.4
和歌山県,180,101,79,43.9,314,246,127.6,159.8
埼玉県,807,664,143,17.7,1462,907,161.2,177.0
大分県,164,97,67,40.9,343,282,121.6,145.4
大阪府,1106,874,232,21.0,1817,1178,154.2,173.9
奈良県,113,81,32,28.3,318,213,149.3,164.3
宮城県,307,253,54,17.6,604,401,150.6,164.1
宮崎県,209,102,107,51.2,311,315,98.7,132.7
富山県,165,112,53,32.1,239,201,118.9,145.3
山口県,257,160,97,37.7,325,315,103.2,134.0
山形県,213,129,84,39.4,359,270,133.0,164.1
山梨県,117,72,45,38.5,242,181,133.7,158.6
岐阜県,203,132,71,35.0,490,411,119.2,136.5
岡山県,305,218,87,28.5,454,463,98.1,116.8
岩手県,121,71,50,41.3,344,337,102.1,116.9
島根県,61,33,28,45.9,223,273,81.7,91.9
広島県,517,339,178,34.4,663,601,110.3,139.9
徳島県,97,57,40,41.2,198,203,97.5,117.2
愛媛県,254,144,110,43.3,330,356,92.7,123.6
愛知県,514,377,137,26.7,1437,917,156.7,171.6
新潟県,92,49,43,46.7,574,490,117.1,125.9
東京都,1337,1229,108,8.1,3759,2063,182.2,187.4
栃木県,293,207,86,29.4,474,361,131.3,155.1
沖縄県,146,103,43,29.5,536,437,122.7,132.5
滋賀県,217,148,69,31.8,300,206,145.6,179.1
熊本県,292,154,138,47.3,443,414,107.0,140.3
石川県,160,110,50,31.2,300,218,137.6,160.6
神奈川県,689,617,72,10.4,1912,1257,152.1,157.8
福井県,54,38,16,29.6,203,189,107.4,115.9
福岡県,730,538,192,26.3,1289,653,197.4,226.8
福島県,121,95,26,21.5,426,388,109.8,116.5
秋田県,77,62,15,19.5,262,253,103.6,109.5
群馬県,261,196,65,24.9,476,342,139.2,158.2
茨城県,288,216,72,25.0,662,510,129.8,143.9
長崎県,247,133,114,46.2,337,399,84.5,113.0
長野県,255,168,87,34.1,547,383,142.8,165.5
青森県,96,73,23,24.0,293,364,80.5,86.8
静岡県,645,413,232,36.0,1017,533,190.8,234.3
香川県,146,73,73,50.0,272,223,122.0,154.7
高知県,156,95,61,39.1,198,238,83.2,108.8
鳥取県,114,60,54,47.4,139,154,90.3,125.3
鹿児島県,103,46,57,55.3,431,443,97.3,110.2
