都道府県,⑪候補,既存と一致,純増,純増率(%),マスターsupermarket,実数統計(センサス581),現状率(%),投入後率(%)
三重県,136,96,40,29.4,453,338,134.0,145.9
京都府,418,338,80,19.1,736,464,158.6,175.9
佐賀県,113,69,44,38.9,214,179,119.6,144.1
兵庫県,392,343,49,12.5,1205,940,128.2,133.4
北海道,902,721,181,20.1,1391,1023,136.0,153.7
千葉県,953,766,187,19.6,1316,846,155.6,177.7
和歌山県,180,112,68,37.8,314,246,127.6,155.3
埼玉県,807,707,100,12.4,1462,907,161.2,172.2
大分県,164,113,51,31.1,343,282,121.6,139.7
大阪府,1106,941,165,14.9,1817,1178,154.2,168.3
奈良県,113,95,18,15.9,318,213,149.3,157.7
宮城県,307,259,48,15.6,604,401,150.6,162.6
宮崎県,210,128,82,39.0,311,315,98.7,124.8
富山県,165,119,46,27.9,239,201,118.9,141.8
山口県,257,182,75,29.2,325,315,103.2,127.0
山形県,213,126,87,40.8,359,270,133.0,165.2
山梨県,117,77,40,34.2,242,181,133.7,155.8
岐阜県,203,149,54,26.6,490,411,119.2,132.4
岡山県,305,243,62,20.3,454,463,98.1,111.4
岩手県,121,88,33,27.3,344,337,102.1,111.9
島根県,61,42,19,31.1,223,273,81.7,88.6
広島県,517,385,132,25.5,663,601,110.3,132.3
徳島県,97,73,24,24.7,198,203,97.5,109.4
愛媛県,255,178,77,30.2,330,356,92.7,114.3
愛知県,516,408,108,20.9,1437,917,156.7,168.5
新潟県,92,73,19,20.7,574,490,117.1,121.0
東京都,1338,1253,85,6.4,3759,2063,182.2,186.3
栃木県,293,225,68,23.2,474,361,131.3,150.1
沖縄県,146,122,24,16.4,536,437,122.7,128.1
滋賀県,217,173,44,20.3,300,206,145.6,167.0
熊本県,292,186,106,36.3,443,414,107.0,132.6
石川県,160,121,39,24.4,300,218,137.6,155.5
神奈川県,689,636,53,7.7,1912,1257,152.1,156.3
福井県,54,48,6,11.1,203,189,107.4,110.6
福岡県,730,585,145,19.9,1289,653,197.4,219.6
福島県,121,109,12,9.9,426,388,109.8,112.9
秋田県,77,70,7,9.1,262,253,103.6,106.3
群馬県,261,207,54,20.7,476,342,139.2,155.0
茨城県,288,232,56,19.4,662,510,129.8,140.8
長崎県,247,165,82,33.2,337,399,84.5,105.0
長野県,255,173,82,32.2,547,383,142.8,164.2
青森県,96,83,13,13.5,293,364,80.5,84.1
静岡県,646,437,209,32.4,1017,533,190.8,230.0
香川県,146,93,53,36.3,272,223,122.0,145.7
高知県,156,99,57,36.5,198,238,83.2,107.1
鳥取県,114,66,48,42.1,139,154,90.3,121.4
鹿児島県,103,71,32,31.1,431,443,97.3,104.5
