都道府県,許可_飲食店営業施設数,センサス_飲食店事業所数_R3,比率,業種空欄率%
新潟県,275,8616,0.032,0.0
宮城県,291,8448,0.034,73.5
島根県,96,2555,0.038,90.1
秋田県,226,3929,0.058,0.0
青森県,423,5586,0.076,0.0
福井県,904,3632,0.249,0.0
茨城県,2700,9253,0.292,0.0
愛知県,9317,29632,0.314,0.0
埼玉県,6556,19870,0.33,0.0
神奈川県,12329,28178,0.438,0.0
徳島県,1423,3097,0.459,0.0
宮崎県,3209,5538,0.579,0.0
佐賀県,2641,3447,0.766,0.0
滋賀県,3467,4236,0.818,0.0
東京都,63916,67185,0.951,26.7
鳥取県,2225,2293,0.97,0.0
和歌山県,4872,4215,1.156,0.0
広島県,14741,11493,1.283,0.0
岡山県,8328,6286,1.325,0.0
兵庫県,29772,22055,1.35,36.4
栃木県,9907,7329,1.352,0.0
高知県,5401,3809,1.418,0.0
岐阜県,12708,8939,1.422,16.0
山形県,7385,4816,1.533,0.0
群馬県,11215,7148,1.569,19.3
福岡県,33286,21096,1.578,0.0
大阪府,67785,39639,1.71,0.0
北海道,38623,22317,1.731,0.0
千葉県,30230,17212,1.756,0.0
静岡県,27440,15184,1.807,0.0
長崎県,10406,5522,1.884,0.0
三重県,12784,6381,2.003,0.0
香川県,8590,4057,2.117,0.0
岩手県,10701,4805,2.227,0.0
福島県,15866,6741,2.354,0.0
山口県,11915,4824,2.47,8.9
石川県,12948,5235,2.473,0.0
大分県,11820,4775,2.475,0.0
山梨県,10149,4096,2.478,0.0
沖縄県,21386,8522,2.51,0.0
京都府,30842,11520,2.677,0.0
鹿児島県,20101,6779,2.965,0.0
愛媛県,16844,5409,3.114,0.0
奈良県,12054,3764,3.202,0.0
熊本県,20973,6369,3.293,0.0
富山県,16135,3979,4.055,0.0
長野県,40945,9382,4.364,0.0
