都道府県,Overture_drugstore,OSM_chemist,センサス6031
東京都,973,709,2131
神奈川県,556,297,1349
埼玉県,511,193,1199
大阪府,379,279,1121
愛知県,414,303,1057
千葉県,382,151,979
北海道,290,253,871
兵庫県,222,133,669
静岡県,314,123,582
福岡県,377,118,542
茨城県,154,46,475
新潟県,104,114,461
宮城県,212,69,440
岐阜県,179,52,391
群馬県,151,108,387
広島県,142,83,377
京都府,94,95,369
長野県,92,32,348
栃木県,139,34,334
福島県,105,52,321
岩手県,102,34,264
岡山県,85,124,250
三重県,101,40,237
石川県,125,31,237
青森県,121,63,225
山形県,82,49,218
愛媛県,107,71,217
富山県,95,51,214
滋賀県,89,42,201
鹿児島県,45,139,184
秋田県,85,31,170
山口県,63,79,158
沖縄県,34,27,146
熊本県,67,49,146
奈良県,43,39,142
香川県,74,46,141
山梨県,60,40,129
福井県,118,71,129
長崎県,69,43,122
高知県,37,21,95
大分県,28,43,90
和歌山県,48,22,89
鳥取県,42,42,86
徳島県,55,21,82
佐賀県,45,5,79
宮崎県,60,49,79
島根県,61,31,72
