都道府県,加重実質カバー率,supermarket,convenience,drugstore,fresh_food
高知県,0.779,0.832,1.0,0.374,0.114
青森県,0.78,0.805,1.0,0.611,0.357
島根県,0.794,0.817,1.0,0.744,0.298
長崎県,0.795,0.845,0.934,0.535,0.115
鳥取県,0.853,0.903,1.0,0.532,0.221
愛媛県,0.863,0.927,1.0,0.423,0.115
鹿児島県,0.894,0.973,0.969,0.222,0.183
岡山県,0.918,0.981,1.0,0.405,0.319
山口県,0.918,1.0,1.0,0.31,0.086
大分県,0.919,1.0,0.983,0.23,0.198
徳島県,0.92,0.975,1.0,0.632,0.201
宮崎県,0.921,0.987,1.0,0.472,0.19
熊本県,0.923,1.0,0.931,0.383,0.148
新潟県,0.926,1.0,1.0,0.283,0.262
奈良県,0.926,1.0,0.946,0.307,0.279
京都府,0.926,1.0,0.911,0.273,0.352
茨城県,0.928,1.0,1.0,0.352,0.23
大阪府,0.928,1.0,0.871,0.36,0.329
三重県,0.929,1.0,0.892,0.384,0.302
広島県,0.929,1.0,0.987,0.438,0.177
愛知県,0.929,1.0,0.984,0.348,0.276
岐阜県,0.929,1.0,0.986,0.397,0.225
富山県,0.93,1.0,0.956,0.461,0.204
長野県,0.931,1.0,0.997,0.365,0.278
北海道,0.931,1.0,1.0,0.411,0.241
福島県,0.931,1.0,1.0,0.409,0.243
兵庫県,0.931,1.0,0.904,0.336,0.394
佐賀県,0.932,1.0,1.0,0.523,0.13
沖縄県,0.932,1.0,1.0,0.472,0.195
山梨県,0.933,1.0,0.998,0.451,0.224
石川県,0.933,1.0,1.0,0.498,0.185
岩手県,0.933,1.0,1.0,0.43,0.259
埼玉県,0.934,1.0,0.935,0.457,0.287
群馬県,0.935,1.0,1.0,0.453,0.272
栃木県,0.935,1.0,1.0,0.436,0.292
千葉県,0.935,1.0,1.0,0.433,0.296
福岡県,0.936,1.0,0.967,0.616,0.151
和歌山県,0.938,1.0,0.923,0.461,0.381
神奈川県,0.938,1.0,0.95,0.473,0.353
香川県,0.94,1.0,0.998,0.556,0.267
滋賀県,0.941,1.0,0.971,0.39,0.474
静岡県,0.942,1.0,0.97,0.57,0.308
東京都,0.943,1.0,0.883,0.512,0.455
福井県,0.947,1.0,1.0,0.698,0.264
秋田県,0.953,1.0,1.0,0.552,0.522
山形県,0.955,1.0,1.0,0.434,0.696
宮城県,0.977,1.0,0.999,0.586,0.963
