cat,都道府県,マスター件数,実数統計,カバー率
convenience,北海道,3268,3003,1.088
convenience,青森県,631,611,1.033
convenience,岩手県,558,543,1.028
convenience,宮城県,1164,1165,0.999
convenience,秋田県,461,458,1.007
convenience,山形県,461,444,1.038
convenience,福島県,951,906,1.050
convenience,茨城県,1456,1418,1.027
convenience,栃木県,928,921,1.008
convenience,群馬県,1046,905,1.156
convenience,埼玉県,2681,2866,0.935
convenience,千葉県,2753,2634,1.045
convenience,東京都,6292,7126,0.883
convenience,神奈川県,3443,3624,0.950
convenience,新潟県,967,895,1.080
convenience,富山県,456,477,0.956
convenience,石川県,506,498,1.016
convenience,福井県,341,334,1.021
convenience,山梨県,456,457,0.998
convenience,長野県,933,936,0.997
convenience,岐阜県,838,850,0.986
convenience,静岡県,1632,1682,0.970
convenience,愛知県,3494,3552,0.984
convenience,三重県,704,789,0.892
convenience,滋賀県,538,554,0.971
convenience,京都府,968,1062,0.911
convenience,大阪府,3400,3904,0.871
convenience,兵庫県,1798,1990,0.904
convenience,奈良県,434,460,0.943
convenience,和歌山県,346,375,0.923
convenience,鳥取県,292,254,1.150
convenience,島根県,308,269,1.145
convenience,岡山県,834,803,1.039
convenience,広島県,1174,1189,0.987
convenience,山口県,586,552,1.062
convenience,徳島県,322,321,1.003
convenience,香川県,408,409,0.998
convenience,愛媛県,585,584,1.002
convenience,高知県,304,288,1.056
convenience,福岡県,2195,2271,0.967
convenience,佐賀県,360,358,1.006
convenience,長崎県,493,528,0.934
convenience,熊本県,725,779,0.931
convenience,大分県,507,516,0.983
convenience,宮崎県,445,435,1.023
convenience,鹿児島県,647,668,0.969
convenience,沖縄県,703,689,1.020
supermarket,北海道,1391,1023,1.360
supermarket,青森県,293,364,0.805
supermarket,岩手県,344,337,1.021
supermarket,宮城県,604,401,1.506
supermarket,秋田県,262,253,1.036
supermarket,山形県,359,270,1.330
supermarket,福島県,426,388,1.098
supermarket,茨城県,662,510,1.298
supermarket,栃木県,474,361,1.313
supermarket,群馬県,476,342,1.392
supermarket,埼玉県,1462,907,1.612
supermarket,千葉県,1316,846,1.556
supermarket,東京都,3759,2063,1.822
supermarket,神奈川県,1912,1257,1.521
supermarket,新潟県,574,490,1.171
supermarket,富山県,239,201,1.189
supermarket,石川県,300,218,1.376
supermarket,福井県,203,189,1.074
supermarket,山梨県,242,181,1.337
supermarket,長野県,547,383,1.428
supermarket,岐阜県,490,411,1.192
supermarket,静岡県,1017,533,1.908
supermarket,愛知県,1437,917,1.567
supermarket,三重県,453,338,1.340
supermarket,滋賀県,300,206,1.456
supermarket,京都府,736,464,1.586
supermarket,大阪府,1817,1178,1.542
supermarket,兵庫県,1205,940,1.282
supermarket,奈良県,318,213,1.493
supermarket,和歌山県,314,246,1.276
supermarket,鳥取県,139,154,0.903
supermarket,島根県,223,273,0.817
supermarket,岡山県,454,463,0.981
supermarket,広島県,663,601,1.103
supermarket,山口県,325,315,1.032
supermarket,徳島県,198,203,0.975
supermarket,香川県,272,223,1.220
supermarket,愛媛県,330,356,0.927
supermarket,高知県,198,238,0.832
supermarket,福岡県,1289,653,1.974
supermarket,佐賀県,214,179,1.196
supermarket,長崎県,337,399,0.845
supermarket,熊本県,443,414,1.070
supermarket,大分県,343,282,1.216
supermarket,宮崎県,311,315,0.987
supermarket,鹿児島県,431,443,0.973
supermarket,沖縄県,536,437,1.227
drugstore,北海道,282,706,0.399
drugstore,青森県,120,198,0.606
drugstore,岩手県,102,237,0.430
